Location,Latitude,Longitude,Time,Temp_F
Maryville MO,40.346102,-94.872471,2023-08-11 22:17:50,80.58
Joplin MO,37.084229,-94.513283,2023-08-11 22:17:51,82.8
New York City NY,40.73061,-73.935242,2023-08-11 22:17:51,75.06
Baltimore MD,39.299236,-76.609383,2023-08-11 22:17:51,74.64
ELY MN,47.903237,-91.867087,2023-08-11 22:18:52,58.86
Death Valley CA,36.5323,-116.93,2023-08-11 22:18:52,100.71
Maryville MO,40.346102,-94.872471,2023-08-11 22:18:53,80.58
Joplin MO,37.084229,-94.513283,2023-08-11 22:18:53,82.8
New York City NY,40.73061,-73.935242,2023-08-11 22:18:53,75.06
Baltimore MD,39.299236,-76.609383,2023-08-11 22:18:54,74.64
